Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
    41,04/04/23 00:18:38,51,  0.00, 19.80,307.039,134.823,138.090,138.533,134.111,134.405,130.228,122.145,117.855,108.893, 99.509, 91.799, 86.547, 83.529, 80.389, 78.031, 80.965, 82.268, 79.806, 76.875, 75.808, 72.100,220.844,241.198,259.843,276.029,287.373,291.683,293.507,294.671,295.251,295.731,295.936,296.033,294.910,295.621,1
    42,04/04/23 00:18:56,51,  0.00, 90.00,307.043, 59.110, 61.430, 61.592, 58.647, 58.898, 58.078, 52.634, 50.635, 45.704, 39.774, 37.645, 34.468, 32.781, 30.407, 31.381, 36.645, 41.526, 38.463, 36.455, 35.284, 30.531,114.194,137.402,162.350,193.199,228.995,260.907,280.960,289.836,291.497,293.572,294.888,294.469,294.174,295.103,1
    43,04/04/23 00:19:13,51,  0.00,160.20,307.038,143.630,146.709,147.180,142.905,142.873,138.240,129.567,126.468,116.105,105.987, 97.633, 91.529, 89.155, 85.415, 82.930, 86.478,165.576, 83.668, 80.931, 79.002, 75.958,224.650,244.036,262.254,277.678,287.982,292.148,293.552,294.752,295.175,295.934,296.088,295.647,295.078,295.569,1
    44,04/04/23 00:19:37,51, 45.00, 19.80,307.033,131.814,135.678,136.188,132.069,131.441,127.487,119.485,116.003,106.760, 98.346, 90.216, 85.222, 81.814, 78.007, 76.216, 80.354, 81.262, 78.323, 76.308, 74.424, 70.905,219.440,239.896,259.027,275.983,286.710,292.135,293.280,294.559,295.078,295.873,296.040,295.261,294.775,295.318,1
    45,04/04/23 00:19:55,51, 45.00,160.20,307.026,147.914,151.072,152.073,147.653,147.561,142.356,134.118,130.440,119.731,109.472,101.651, 94.470, 92.091, 87.906, 85.472, 88.875,137.054, 85.995, 83.389, 81.220, 78.290,225.244,244.410,262.766,277.698,287.882,292.534,293.441,294.332,295.243,295.605,296.055,295.883,295.273,296.252,1
    46,04/04/23 00:19:56,41, 294.8200,  94.4200,1010.4000, 241.5400,0,1
    47,04/04/23 00:20:18,51, 90.00, 19.80,307.022,131.785,134.979,135.559,131.378,131.305,126.965,119.577,115.257,106.133, 98.199, 89.757, 84.364, 82.166, 77.899, 76.057, 80.011, 81.126, 77.935, 75.410, 74.107, 70.266,218.676,239.332,259.091,275.842,287.256,292.109,293.765,294.879,295.257,295.802,296.418,296.005,295.148,295.797,1
    48,04/04/23 00:20:36,51, 90.00,160.20,307.017,145.616,149.256,149.565,145.746,144.908,140.151,131.783,130.654,118.414,107.698, 99.477, 93.908, 90.538, 86.600, 84.060, 87.196, 90.930, 84.712, 81.813, 80.801, 76.869,225.535,244.803,263.030,277.879,287.717,292.683,294.151,295.150,295.541,295.490,296.723,296.054,295.328,296.107,1
    49,04/04/23 00:20:37,41, 294.8200,  94.5800,1010.4000, 241.6300,0,1
    50,04/04/23 00:20:59,51,135.00, 19.80,307.013,134.838,138.333,139.086,134.615,134.379,130.054,122.094,119.686,108.872, 99.920, 91.580, 86.898, 83.571, 79.608, 77.567, 81.603,114.747, 79.228, 76.345, 75.487, 71.937,219.876,239.497,258.781,275.683,287.370,291.962,293.599,294.825,295.273,296.114,296.221,295.421,294.952,296.106,1
