Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
    38,04/01/23 00:16:46,51,135.00,160.20,307.750,105.162,108.814,108.807,104.946,105.285,102.275, 96.412, 92.094, 84.845, 77.531, 71.915, 66.708, 65.437, 61.683, 60.197, 64.816, 67.602, 66.264, 63.261, 61.062, 58.260,217.975,239.651,260.231,277.807,288.130,293.624,295.258,296.335,296.663,297.158,296.783,297.868,297.366,297.377,1
    39,04/01/23 00:16:47,41, 297.8200,  66.6200,1013.0000, 227.6300,0,1
    40,04/01/23 00:18:05,41, 297.8600,  66.4300,1013.0000, 227.8800,0,1
    41,04/01/23 00:18:40,51,  0.00, 19.80,307.692, 95.718, 98.304, 98.878, 94.838, 94.900, 92.793, 86.661, 82.927, 76.740, 69.862, 64.732, 61.037, 58.579, 54.813, 54.585, 59.067, 61.972, 60.543, 58.821, 57.340, 53.115,212.024,234.645,256.390,275.693,286.882,293.012,294.582,295.811,296.419,296.237,297.200,297.624,297.928,297.674,1
    42,04/01/23 00:18:57,51,  0.00, 90.00,307.684, 42.437, 43.891, 43.966, 42.329, 43.073, 42.144, 39.111, 36.926, 33.344, 29.644, 27.889, 25.434, 23.844, 21.534, 22.572, 29.000, 34.230, 33.037, 30.720, 28.595, 24.065,106.997,130.422,157.588,190.154,227.455,260.095,281.127,290.751,293.130,293.695,294.918,295.469,296.679,295.802,1
    43,04/01/23 00:19:15,51,  0.00,160.20,307.675,112.583,116.376,116.653,112.629,112.333,109.318,102.308, 99.355, 90.941, 83.217, 77.858, 72.876, 70.529, 65.874, 65.491, 69.384,144.378, 69.396, 66.871, 64.910, 61.387,217.979,238.701,259.660,277.280,287.653,292.936,294.203,295.500,296.115,296.078,296.446,297.341,297.491,296.565,1
    44,04/01/23 00:19:39,51, 45.00, 19.80,307.659, 92.590, 95.252, 95.787, 91.131, 91.744, 89.309, 83.257, 79.785, 73.622, 67.023, 61.851, 59.212, 56.353, 52.351, 52.272, 57.766, 60.957, 58.295, 57.028, 54.724, 51.506,209.762,232.688,255.389,274.822,287.244,292.681,294.835,296.000,296.959,296.439,296.564,297.374,297.694,297.242,1
    45,04/01/23 00:19:57,51, 45.00,160.20,307.653,111.134,113.827,115.176,110.968,110.775,107.746,101.815, 97.996, 90.387, 82.197, 76.583, 71.543, 69.306, 64.673, 63.473, 68.365,114.217, 68.614, 66.462, 64.252, 61.039,217.791,239.365,260.399,277.725,287.697,293.218,294.686,295.899,296.268,296.262,296.722,297.214,298.031,297.353,1
    46,04/01/23 00:19:57,41, 297.7800,  66.7300,1013.0000, 227.5400,0,1
    47,04/01/23 00:20:19,51, 90.00, 19.80,307.644, 92.800, 96.254, 96.745, 91.897, 91.999, 89.676, 83.996, 80.830, 74.155, 67.637, 62.698, 59.538, 56.950, 53.376, 53.020, 57.614, 61.521, 58.988, 57.201, 55.222, 51.219,209.844,232.627,254.966,274.787,286.832,292.892,294.865,295.858,296.089,296.221,296.596,296.973,297.512,297.318,1
    48,04/01/23 00:20:37,51, 90.00,160.20,307.641,109.035,111.213,111.884,108.521,108.721,105.483, 98.782, 96.834, 88.384, 79.928, 75.016, 69.097, 67.668, 63.276, 62.909, 66.544, 74.106, 67.048, 65.046, 63.186, 59.667,217.802,238.774,259.932,276.898,288.023,292.767,294.402,295.607,296.150,295.778,296.831,297.169,297.571,296.870,1
    49,04/01/23 00:20:38,41, 297.7800,  66.5700,1013.0000, 226.6900,0,1
    50,04/01/23 00:21:00,51,135.00, 19.80,307.635,105.982,109.113,109.279,104.736,104.855,102.653, 95.702, 92.771, 85.300, 77.198, 71.728, 67.269, 64.404, 60.903, 59.550, 64.668,101.502, 65.083, 62.883, 61.137, 57.466,212.211,234.297,255.996,275.041,286.316,292.489,294.299,294.995,295.693,296.014,295.812,297.826,297.699,297.710,1
    51,04/01/23 00:21:18,51,135.00,160.20,307.630,101.666,104.840,105.093,100.783,100.936, 98.623, 92.284, 88.386, 81.180, 74.292, 69.072, 64.731, 62.526, 58.813, 57.697, 62.965, 65.047, 63.642, 61.792, 59.666, 55.539,216.253,237.911,259.534,276.665,287.464,291.903,294.431,295.143,295.587,295.719,295.859,296.816,297.079,297.062,1
    52,04/01/23 00:21:19,41, 297.7700,  66.5900,1013.0000, 225.7200,0,1
    53,04/01/23 00:22:36,41, 297.7400,  66.5700,1013.0000, 227.2000,0,1
    54,04/01/23 00:23:11,51,  0.00, 19.80,307.611, 95.386, 98.561, 98.327, 94.522, 94.822, 91.519, 85.728, 82.735, 76.511, 69.641, 63.970, 60.946, 58.025, 54.392, 54.139, 59.205, 62.025, 60.285, 57.412, 56.689, 52.659,211.376,233.987,255.890,275.600,288.417,292.814,293.919,295.243,295.835,296.003,296.750,296.551,296.684,296.651,1
