Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
70,04/09/23 00:28:38,51,45.0,19.8,308.302,157.207,160.688,160.813,155.337,155.211,148.731,140.011,135.346,124.354,112.56,104.006,96.949,94.189,90.223,89.0,91.169,90.812,88.026,85.756,84.108,77.764
71,04/09/23 00:28:56,51,45.0,160.2,308.296,163.27,166.646,167.085,162.327,162.247,155.552,147.054,142.81,130.96,118.876,110.32,102.154,100.291,96.3,94.799,96.48,142.886,92.615,91.462,88.622,82.489
73,04/09/23 00:29:19,51,90.0,19.8,308.284,156.761,160.505,159.888,154.584,154.576,148.642,139.209,134.792,123.441,112.39,103.389,96.505,93.369,90.186,89.048,90.534,91.231,87.881,85.275,83.988,77.469
74,04/09/23 00:29:37,51,90.0,160.2,308.275,165.266,168.628,168.68,163.364,163.202,156.777,147.604,145.403,132.016,119.95,110.989,103.462,101.079,97.171,95.497,96.996,99.271,92.746,91.113,89.21,83.033
76,04/09/23 00:30:00,51,135.0,19.8,308.26,155.36,159.386,158.878,153.895,153.264,147.481,138.192,134.978,122.505,111.214,102.881,95.951,92.919,89.353,88.436,90.063,121.509,86.77,84.8,82.841,77.143
77,04/09/23 00:30:18,51,135.0,160.2,308.251,164.98,168.786,168.652,163.015,162.939,156.948,147.549,142.412,131.402,119.008,110.04,102.666,100.599,96.365,94.56,96.627,95.494,92.604,90.656,88.553,82.095
80,04/09/23 00:32:11,51,0.0,19.8,308.195,159.396,162.404,162.918,157.052,157.168,150.298,141.855,136.693,125.982,114.83,105.157,98.195,94.889,91.837,90.449,92.544,91.37,88.909,87.1,85.342,78.315
81,04/09/23 00:32:28,51,0.0,90.0,308.191,72.11,73.944,74.077,70.442,70.864,68.552,62.457,59.399,53.494,46.795,43.195,38.931,37.167,37.04,37.515,42.319,44.824,42.511,41.862,40.17,31.708
82,04/09/23 00:32:46,51,0.0,160.2,308.187,160.048,163.259,163.896,158.405,157.967,151.919,143.503,138.998,127.966,116.175,107.241,99.661,97.188,93.816,92.65,94.28,178.62,90.643,88.877,86.641,80.308
83,04/09/23 00:33:09,51,45.0,19.8,308.183,155.203,158.305,159.868,153.179,153.506,147.294,138.194,133.428,123.046,111.786,102.852,95.916,92.233,89.763,87.491,89.89,89.1,86.984,84.887,83.307,76.221
84,04/09/23 00:33:27,51,45.0,160.2,308.178,164.36,166.949,167.701,162.497,162.71,156.462,147.814,143.26,132.524,120.563,111.703,103.27,100.556,97.421,95.396,97.907,144.221,94.106,91.733,90.197,83.566
86,04/09/23 00:33:50,51,90.0,19.8,308.168,155.728,159.011,159.52,153.378,153.893,147.455,138.799,133.83,123.869,112.101,103.214,95.794,92.929,89.323,88.931,90.131,90.275,86.88,85.522,83.988,76.657
87,04/09/23 00:34:08,51,90.0,160.2,308.161,164.843,167.541,167.963,162.549,162.378,156.15,147.32,144.295,131.237,119.668,110.525,102.297,99.859,97.034,95.04,95.711,100.029,92.573,90.686,88.974,81.928
89,04/09/23 00:34:31,51,135.0,19.8,308.153,154.451,157.579,158.132,152.566,152.367,146.235,137.673,133.804,122.781,111.432,101.922,94.827,92.231,89.543,87.654,89.018,118.921,86.004,84.683,83.024,76.066
90,04/09/23 00:34:49,51,135.0,160.2,308.149,164.825,167.684,168.079,162.672,162.195,155.875,147.054,141.326,131.644,119.572,110.254,101.593,99.24,95.875,94.08,95.756,95.127,92.145,90.524,88.285,82.078
93,04/09/23 00:36:42,51,0.0,19.8,308.155,156.218,159.973,160.527,154.514,154.251,148.402,138.99,133.947,123.333,112.778,103.759,96.279,93.54,90.122,89.077,90.165,89.856,87.084,85.952,84.33,76.821
