Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
90,04/04/23 00:34:52,51,135.0,160.2,306.931,139.693,143.065,143.55,139.242,139.273,134.451,126.993,122.054,113.158,103.714,96.632,90.462,87.322,83.172,81.283,83.96,85.309,81.741,80.164,77.937,75.45
93,04/04/23 00:36:45,51,0.0,19.8,306.941,132.852,136.026,137.38,132.543,132.221,128.029,120.507,116.379,107.162,98.899,90.874,86.806,82.366,78.198,76.956,80.419,81.609,77.926,76.903,74.739,71.331
94,04/04/23 00:37:02,51,0.0,90.0,306.95,58.089,59.926,60.739,57.907,57.99,57.494,51.154,49.719,44.035,40.113,36.861,34.986,32.155,29.976,30.283,36.659,40.798,38.573,36.427,34.264,30.208
95,04/04/23 00:37:20,51,0.0,160.2,306.956,140.843,143.644,145.302,140.663,140.53,136.05,128.246,123.922,114.273,104.563,97.112,92.338,88.191,84.084,82.031,85.607,165.903,83.446,80.887,78.492,75.789
96,04/04/23 00:37:43,51,45.0,19.8,306.962,131.109,133.559,134.552,129.854,129.981,126.463,118.303,114.534,105.587,97.153,89.358,85.253,81.346,77.484,76.102,79.668,81.112,77.631,76.052,73.543,70.765
97,04/04/23 00:38:01,51,45.0,160.2,306.963,143.235,146.454,147.94,142.79,143.066,138.339,130.501,125.775,115.696,106.493,98.462,92.904,89.107,84.671,83.211,86.48,134.856,83.984,81.832,79.84,76.433
99,04/04/23 00:38:25,51,90.0,19.8,306.966,131.224,134.714,135.402,131.046,130.944,127.147,119.381,116.016,106.295,98.408,91.179,86.872,82.051,78.52,76.655,80.584,82.249,78.945,77.44,75.444,71.746
100,04/04/23 00:38:43,51,90.0,160.2,306.967,140.772,143.694,144.827,140.195,140.442,136.058,127.685,125.848,113.827,104.506,97.005,91.824,87.426,83.696,81.433,84.586,90.31,81.93,80.817,78.99,75.469
102,04/04/23 00:39:06,51,135.0,19.8,306.964,133.095,136.045,137.212,132.496,132.21,128.426,120.541,117.894,107.705,99.328,90.986,87.336,82.876,79.227,77.448,81.381,112.426,79.102,77.404,75.428,72.61
103,04/04/23 00:39:24,51,135.0,160.2,306.96,138.758,141.694,143.144,138.153,138.217,134.143,125.326,121.051,112.182,103.156,95.737,90.161,86.119,81.586,80.661,83.902,85.076,80.697,79.616,77.717,74.493
